mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,stop_name,parent_station,total_ons,total_offs,number_service_days,hour_of_service,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,70,6,11,15:00:00,6,1,98,11214
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,30,4,11,16:00:00,3,0,63,11215
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,52,9,11,17:00:00,5,1,64,11216
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,39,3,11,18:00:00,4,0,56,11217
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,41,3,11,19:00:00,4,0,42,11218
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,14,2,11,20:00:00,1,0,28,11219
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,11,2,11,21:00:00,1,0,25,11220
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,3,5,11,22:00:00,0,0,18,11221
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brandon Hall,place-bndhl,11,1,11,23:00:00,1,0,12,11222
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,10,0,11,00:00:00,1,0,2,11223
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,1,0,11,01:00:00,0,0,0,11224
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,1,0,11,02:00:00,0,0,0,11225
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,0,0,11,03:00:00,0,0,0,11226
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,1,0,11,04:00:00,0,0,0,11227
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,1,0,11,05:00:00,0,0,0,11228
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,45,1,11,06:00:00,4,0,15,11229
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,89,1,11,07:00:00,8,0,25,11230
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,79,0,11,08:00:00,7,0,31,11231
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,129,2,11,09:00:00,12,0,52,11232
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,146,7,11,10:00:00,13,1,76,11233
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,95,5,11,11:00:00,9,0,62,11234
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,136,3,11,12:00:00,12,0,63,11235
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,192,6,11,13:00:00,17,1,76,11236
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,194,6,11,14:00:00,18,1,55,11237
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,199,4,11,15:00:00,18,0,64,11238
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,153,4,11,16:00:00,14,0,41,11239
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,195,5,11,17:00:00,18,0,51,11240
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,106,2,11,18:00:00,10,0,39,11241
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,190,4,11,19:00:00,17,0,37,11242
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,63,3,11,20:00:00,6,0,16,11243
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,57,1,11,21:00:00,5,0,14,11244
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,81,0,11,22:00:00,7,0,15,11245
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brigham Circle,place-brmnl,72,0,11,23:00:00,7,0,12,11246
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brookline Hills,place-brkhl,5,3,11,00:00:00,0,0,8,11247
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brookline Hills,place-brkhl,0,0,11,01:00:00,0,0,1,11248
Light Rail,Fall 2024,Green,Green Line,EB,day_type_03,Sunday,Brookline Hills,place-brkhl,0,0,11,02:00:00,0,0,1,11249
